raw_specialty,nucc_codes,confidence,explain,confidence_bin
TEMPOROMANDIBULAR JOINT DISORDER,JUNK,0.23,top fuzzy 0.51 below cutoff,"(0.0, 0.25]"
AA,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
AC,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
AD,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
AG,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
AH,JUNK,0.16,top fuzzy 0.36 below cutoff,"(0.0, 0.25]"
AL,JUNK,0.26,top fuzzy 0.57 below cutoff,"(0.25, 0.5]"
AO,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
AU,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
AZ,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
B5,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
BASIC LIFE SUPPORT STATEWIDE,JUNK,0.23,top fuzzy 0.52 below cutoff,"(0.0, 0.25]"
BHP,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
BI,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
BJ,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
SPEC/TECH,JUNK,0.25,top fuzzy 0.56 below cutoff,"(0.0, 0.25]"
CF,JUNK,0.1,top fuzzy 0.22 below cutoff,"(0.0, 0.25]"
CHLD/FAMILY - 364SP0810X,JUNK,0.24,top fuzzy 0.54 below cutoff,"(0.0, 0.25]"
CI,JUNK,0.15,top fuzzy 0.33 below cutoff,"(0.0, 0.25]"
CIP,JUNK,0.18,top fuzzy 0.40 below cutoff,"(0.0, 0.25]"
CJ,JUNK,0.09,top fuzzy 0.20 below cutoff,"(0.0, 0.25]"
CK,JUNK,0.12,top fuzzy 0.27 below cutoff,"(0.0, 0.25]"
