raw_specialty,nucc_codes,Label,explain,validated_label_used,methodA_flag,methodA_overlap_unigram,methodA_overlap_bigram,methodA_uni_jaccard,methodA_bi_jaccard,methodB_flag,methodB_fwd,methodB_rev,methodB_avg,methodC_flag,methodC_cosine,green_flag
ACUPUNCTURE,171100000X,0.8333,fuzzy match (query='acupuncture'): 'acupuncturist' score=0.83,Acupuncturist,1,0,0,0.0,0.0,0,0.8333,0.8333,0.8333,0,0.7503,0
ADOLESCENT MEDICINE,207PE0004X|207QA0000X|207RA0000X|2080A0000X,1.0,fuzzy match (query='adolescent medicine'): 'medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'internal medicine adolescent medicine' score=1.00; 'pediatrics adolescent medicine' score=1.00,,,,,,,,,,,,,1
ALLERGY & IMMUNOLOGY,207K00000X,1.0,exact match on 'allergy immunology',,,,,,,,,,,,,1
ANATOMIC & CLINICAL PATHOLOGY,207ZC0006X|207ZP0101X|207ZP0102X|246R00000X,1.0,fuzzy match (query='anatomic pathology'): 'pathology anatomic pathology' score=1.00; 'pathology anatomic pathology pathology' score=1.00; 'pathology pathology' score=1.00; 'pathology' score=1.00,,,,,,,,,,,,,1
ANESTHESIOLOGY,207L00000X,1.0,exact match on 'anesthesiology' + spacing rescue,,,,,,,,,,,,,1
APPLIED BEHAVIORAL ANALYSIS (ABA),103K00000X|251S00000X,0.6667,fuzzy match (query='applied behavioral analysis aba'): 'community behavioral' score=0.67; 'behavior analyst' score=0.64,Behavior Analyst,1,0,0,0.0,0.0,1,0.6383,0.6383,0.6383,0,0.6961,0
AUDIOLOGY,2355A2700X,1.0,exact match on 'audiology' + spacing rescue,,,,,,,,,,,,,1
BARIATRIC SURGERY,208600000X,1.0,fuzzy match (query='bariatric surgery'): 'surgery' score=1.00,,,,,,,,,,,,,1
CARDIAC ELECTROPHYSIOLOGY,207RC0001X,1.0,fuzzy match (query='cardiac electrophysiology'): 'internal medicine cardiac electrophysiology' score=1.00,,,,,,,,,,,,,1
CARDIAC SURGERY,208600000X,1.0,fuzzy match (query='cardiac surgery'): 'surgery' score=1.00,,,,,,,,,,,,,1
CARDIOTHORACIC SURGERY,208600000X|208G00000X,1.0,fuzzy match (query='cardiothoracic surgery'): 'surgery' score=1.00; 'thoracic surgery cardiothoracic vascular surgery' score=1.00,,,,,,,,,,,,,1
CARDIOVASCULAR DISEASE,207RC0000X|246X00000X,1.0,fuzzy match (query='cardiovascular disease'): 'internal medicine cardiovascular disease' score=1.00; 'cardiovascular' score=1.00,,,,,,,,,,,,,1
CARDIOVASCULAR SURGERY,208600000X|246X00000X,1.0,fuzzy match (query='cardiovascular surgery'): 'surgery' score=1.00; 'cardiovascular' score=1.00,,,,,,,,,,,,,1
CHILD NEUROLOGY,2084N0402X|2084P0804X,1.0,fuzzy match (query='child neurology'): 'psychiatry neurology child adolescent psychiatry' score=1.00; 'psychiatry neurology neurology with special qualifications in child neurology' score=1.00,,,,,,,,,,,,,1
CHIROPRACTIC,111N00000X,0.8333,fuzzy match (query='chiropractic'): 'chiropractor' score=0.83,Chiropractor,1,0,0,0.0,0.0,0,0.8333,0.8333,0.8333,0,0.9515,0
CLINICAL GENETICS,261QG0250X,1.0,exact match on 'genetics',,,,,,,,,,,,,1
CLINICAL PATHOLOGY,246Q00000X|246QM0706X|246R00000X,1.0,exact match on 'pathology',,,,,,,,,,,,,1
COLON & RECTAL SURGERY,208C00000X,1.0,exact match on 'colon rectal surgery',,,,,,,,,,,,,1
DENTISTRY,1223P0221X,1.0,fuzzy match (query='dentistry'): 'dentist pediatric dentistry' score=1.00 + spacing rescue,,,,,,,,,,,,,1
DERMATOLOGY,207N00000X,1.0,exact match on 'dermatology' + spacing rescue,,,,,,,,,,,,,1
DEVELOPMENTAL & BEHAVIORAL PEDIATRICS,208000000X|2080P0006X,1.0,fuzzy match (query='developmental behavioral pediatrics'): 'pediatrics' score=1.00; 'pediatrics developmental behavioral pediatrics' score=1.00,,,,,,,,,,,,,1
EMERGENCY MEDICINE,207P00000X|207PE0004X,1.0,exact match on 'medicine',,,,,,,,,,,,,1
ENDOCRINOLOGY,163WR1000X|207RE0101X|207VE0102X|2080P0205X,1.0,fuzzy match (query='endocrinology'): 'internal medicine endocrinology diabetes metabolism' score=1.00; 'obstetrics gynecology reproductive endocrinology' score=1.00; 'pediatrics pediatric endocrinology' score=1.00; 'nurse reproductive endocrinology infertility' score=1.00 + spacing rescue,,,,,,,,,,,,,1
"ENDOCRINOLOGY, DIABETES & METABOLISM",207RE0101X,1.0,fuzzy match (query='endocrinology diabetes metabolism'): 'internal medicine endocrinology diabetes metabolism' score=1.00,,,,,,,,,,,,,1
FAMILY MEDICINE,207PE0004X|207Q00000X|207QA0000X|207QA0401X|207QA0505X,1.0,fuzzy match (query='family medicine'): 'medicine' score=1.00; 'family medicine osteopathic manipulative treatment' score=1.00; 'family medicine addiction medicine' score=1.00; 'family medicine adolescent medicine' score=1.00; 'family medicine adult medicine' score=1.00,,,,,,,,,,,,,1
FAMILY MEDICINE WITH OBSTETRICS & PEDIATRICS,207PE0004X|208000000X,1.0,fuzzy match (query='family medicine with obstetrics pediatrics'): 'medicine' score=1.00; 'pediatrics' score=1.00,,,,,,,,,,,,,1
GASTROENTEROLOGY,163WG0100X|207RG0100X|2080P0206X,1.0,fuzzy match (query='gastroenterology'): 'internal medicine gastroenterology' score=1.00; 'pediatrics pediatric gastroenterology' score=1.00; 'nurse gastroenterology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
GENERAL VASCULAR SURGERY,208600000X|2086S0129X|208D00000X,1.0,fuzzy match (query='general vascular surgery'): 'general' score=1.00; 'surgery' score=1.00; 'surgery vascular surgery' score=1.00,,,,,,,,,,,,,1
GERIATRIC MEDICINE,207PE0004X|207QG0300X|207RG0300X,1.0,fuzzy match (query='geriatric medicine'): 'medicine' score=1.00; 'family medicine geriatric medicine' score=1.00; 'internal medicine geriatric medicine' score=1.00,,,,,,,,,,,,,1
GYNECOLOGIC ONCOLOGY,207VX0201X|261QX0200X,1.0,fuzzy match (query='gynecologic oncology'): 'obstetrics gynecology gynecologic oncology' score=1.00; 'oncology' score=1.00,,,,,,,,,,,,,1
GYNECOLOGY,207V00000X|207VC0200X|207VC0300X|207VF0040X|207VX0201X,1.0,fuzzy match (query='gynecology'): 'obstetrics gynecology' score=1.00; 'obstetrics gynecology complex family planning' score=1.00; 'obstetrics gynecology critical medicine' score=1.00; 'obstetrics gynecology urogynecology reconstructive pelvic surgery' score=1.00; 'obstetrics gynecology gynecologic oncology' score=1.00 + spacing rescue,,,,,,,,,,,,,1
